emp_no,from_date,to_date
40992,1993-05-10,9999-01-01
40993,1995-08-22,9999-01-01
40994,1998-12-14,9999-01-01
40995,1995-12-29,9999-01-01
40996,1986-02-12,9999-01-01
40997,1988-08-15,9999-01-01
40998,1989-11-23,9999-01-01
40999,1995-07-06,9999-01-01
41000,1998-09-20,1999-07-14
41001,1986-01-09,1990-11-07
41002,1995-02-17,9999-01-01
41003,1986-11-12,9999-01-01
41004,1989-06-30,9999-01-01
41005,1996-04-08,9999-01-01
41006,1995-07-01,2001-03-13
41007,1997-10-23,9999-01-01
41008,2002-05-26,9999-01-01
41009,1996-03-19,9999-01-01
41010,1989-04-08,9999-01-01
41011,1989-01-23,9999-01-01
41012,1987-02-21,9999-01-01
41013,1990-07-02,2001-07-01
41014,1985-05-11,9999-01-01
41015,1994-11-08,9999-01-01
41016,1989-09-02,9999-01-01
41017,1992-03-03,9999-01-01
41018,1989-09-29,9999-01-01
41019,1989-10-04,1991-04-09
41020,1989-06-05,9999-01-01
41021,1993-06-19,9999-01-01
41022,1993-05-07,9999-01-01
41023,1993-06-03,9999-01-01
41024,1990-09-03,9999-01-01
41025,1998-03-18,9999-01-01
41026,1990-10-10,9999-01-01
41027,1999-03-18,1999-07-29
41028,2001-11-22,9999-01-01
41029,1999-11-08,2002-04-29
41030,1999-03-31,9999-01-01
41031,1989-05-12,9999-01-01
41032,1994-05-05,1996-10-24
41033,1997-01-04,9999-01-01
41034,1996-02-04,9999-01-01
41035,1989-01-17,9999-01-01
41036,1998-09-24,9999-01-01
41037,1991-04-05,9999-01-01
41038,1995-11-21,9999-01-01
41039,1986-09-04,9999-01-01
41040,1997-01-16,9999-01-01
41041,1995-02-16,1995-10-28
41042,1990-01-27,1990-07-17
41043,1992-12-20,9999-01-01
41044,1989-03-23,9999-01-01
41045,1986-05-11,9999-01-01
41046,1987-08-30,9999-01-01
41047,1989-12-13,9999-01-01
41048,1992-11-24,9999-01-01
41049,1988-10-21,9999-01-01
41050,1989-12-18,9999-01-01
41051,1987-10-28,1997-09-03
41052,1991-05-08,9999-01-01
41053,1997-09-08,9999-01-01
41054,1995-12-04,2001-10-31
41055,1993-02-03,9999-01-01
41056,1991-01-01,9999-01-01
41057,1997-04-06,9999-01-01
41058,1994-08-23,9999-01-01
41059,1999-10-11,9999-01-01
41060,1996-06-17,9999-01-01
41061,1994-08-05,9999-01-01
41062,1985-11-02,1989-08-15
41063,1988-02-10,9999-01-01
41064,1995-01-22,9999-01-01
41065,1996-03-26,9999-01-01
41066,1991-09-18,9999-01-01
41067,1992-08-22,9999-01-01
41068,2000-11-10,9999-01-01
41069,1990-08-08,9999-01-01
41070,1992-08-28,9999-01-01
41071,1994-11-27,1997-02-20
41072,1992-01-16,9999-01-01
41073,1994-09-17,9999-01-01
41074,1986-02-01,9999-01-01
41075,1985-11-09,9999-01-01
41076,1988-04-30,1991-11-02
41077,1987-04-30,9999-01-01
41078,1994-06-16,9999-01-01
41079,1996-06-11,9999-01-01
41080,1985-02-19,9999-01-01
41081,1986-01-21,9999-01-01
41082,1986-12-21,9999-01-01
41083,1987-01-24,1997-03-07
41084,1996-04-22,9999-01-01
41085,1990-08-26,9999-01-01
41086,1996-11-11,9999-01-01
41087,1994-10-17,9999-01-01
41088,1999-03-08,9999-01-01
41089,1989-10-16,9999-01-01
41090,1987-08-30,9999-01-01
41091,1987-11-09,1992-04-21
41092,1996-12-16,9999-01-01
41093,1988-10-20,9999-01-01
41094,1989-04-11,9999-01-01
41095,1995-03-16,2002-07-28
41096,1993-03-14,9999-01-01
41097,1990-12-15,9999-01-01
41098,1991-03-28,9999-01-01
41099,1993-02-27,9999-01-01
41100,1992-07-18,9999-01-01
41101,1995-07-19,1998-03-18
41102,1990-08-18,9999-01-01
41103,1999-11-25,9999-01-01
41104,1991-01-22,9999-01-01
41105,1986-06-09,9999-01-01
41106,1996-08-18,9999-01-01
41107,1988-09-22,9999-01-01
41108,1998-09-17,9999-01-01
41109,1996-12-13,2001-11-19
41110,1986-08-23,9999-01-01
41111,1992-02-05,9999-01-01
41112,1999-12-01,9999-01-01
41113,1992-03-06,9999-01-01
41114,1995-12-24,9999-01-01
41115,1991-07-07,2000-12-11
41116,1987-11-21,2000-04-04
41117,1993-02-24,9999-01-01
41118,1999-03-17,9999-01-01
41119,2002-02-06,9999-01-01
41120,1996-03-14,9999-01-01
41121,1988-12-23,1993-04-16
41122,1985-11-14,9999-01-01
41123,1993-05-12,9999-01-01
41124,1995-11-12,2002-04-29
41125,1992-08-28,9999-01-01
41126,1992-04-15,1993-09-07
41127,1985-04-04,9999-01-01
41128,1999-05-19,9999-01-01
41129,1998-03-25,9999-01-01
41130,1998-09-05,9999-01-01
41131,1993-07-24,9999-01-01
41132,1986-04-07,2002-06-11
41133,1985-11-19,9999-01-01
41134,1997-06-16,9999-01-01
41135,1995-03-18,9999-01-01
41136,1985-05-09,9999-01-01
41137,1996-01-08,9999-01-01
41138,1999-01-23,9999-01-01
41139,1996-06-14,1998-07-26
41140,1986-05-18,9999-01-01
41141,1991-07-26,1994-11-30
41142,1991-01-11,9999-01-01
41143,1994-07-08,9999-01-01
41144,1989-07-05,9999-01-01
41145,1987-07-04,9999-01-01
41146,1989-05-10,9999-01-01
41147,1999-07-28,9999-01-01
41148,1991-07-22,9999-01-01
41149,1988-11-26,9999-01-01
41150,1988-05-10,1991-04-21
41151,1985-04-19,9999-01-01
41152,1998-12-13,9999-01-01
41153,1999-12-24,9999-01-01
41154,1996-05-22,9999-01-01
41155,1985-02-16,9999-01-01
41156,1994-02-18,9999-01-01
41157,1994-04-21,1994-05-13
41158,1999-10-01,9999-01-01
41159,1995-11-06,9999-01-01
41160,1996-04-19,9999-01-01
41161,1991-08-14,9999-01-01
41162,1991-01-15,1997-11-04
41163,1995-04-08,2000-08-05
41164,1986-07-25,9999-01-01
41165,1994-08-24,1996-05-05
41166,1991-02-13,9999-01-01
41167,1994-10-04,9999-01-01
41168,1997-12-02,9999-01-01
41169,1990-06-14,9999-01-01
41170,1990-06-10,9999-01-01
41171,1998-10-20,9999-01-01
41172,1987-04-01,1995-02-09
41173,1994-03-29,9999-01-01
41174,1996-04-04,9999-01-01
41175,1999-01-24,9999-01-01
41176,1999-10-21,9999-01-01
41177,1998-12-08,9999-01-01
41178,1996-09-25,9999-01-01
41179,1997-09-07,9999-01-01
41180,1991-04-04,1996-05-17
41181,1986-02-13,9999-01-01
41182,1991-05-28,9999-01-01
41183,1989-10-09,9999-01-01
41184,1988-05-14,9999-01-01
41185,2001-05-16,9999-01-01
41186,1999-10-24,2001-01-07
41187,1998-10-17,9999-01-01
41188,1991-11-19,9999-01-01
41189,1992-05-04,9999-01-01
41190,1986-06-21,9999-01-01
41191,1985-11-23,9999-01-01
41192,1998-12-15,9999-01-01
41193,1986-08-30,1998-05-08
41194,1990-04-26,2001-09-15
41195,1997-11-05,9999-01-01
41196,1997-10-12,9999-01-01
41197,1991-07-21,9999-01-01
41198,1996-02-07,9999-01-01
41199,1995-08-11,9999-01-01
41200,1998-09-10,9999-01-01
41201,1985-08-29,1986-10-29
41202,1992-12-18,9999-01-01
41203,1990-03-10,9999-01-01
41204,1989-02-01,9999-01-01
41205,1993-04-04,9999-01-01
41206,1992-06-09,9999-01-01
41207,1985-11-21,1992-01-02
41208,1988-12-16,1992-09-25
41209,1996-06-03,9999-01-01
41210,1998-11-30,9999-01-01
41211,1990-07-28,9999-01-01
41212,1999-10-10,2001-11-19
41213,1992-10-25,9999-01-01
41214,1990-03-25,9999-01-01
41215,1986-03-21,9999-01-01
41216,1999-12-13,9999-01-01
41217,1993-12-09,2001-12-12
41218,1994-09-28,1995-08-17
41219,1998-06-10,2002-07-15
41220,1992-03-07,9999-01-01
41221,1987-02-12,1990-11-24
41222,1998-09-18,9999-01-01
41223,1997-10-05,9999-01-01
41224,1991-09-12,9999-01-01
41225,1995-02-12,2000-09-21
41226,1989-04-01,1998-02-03
41227,1998-03-08,2000-07-12
41228,1988-06-04,9999-01-01
41229,1995-03-09,9999-01-01
41230,1998-05-22,9999-01-01
41231,1992-04-04,9999-01-01
41232,1988-06-29,9999-01-01
41233,1995-06-06,9999-01-01
41234,1988-02-28,1991-04-07
41235,1998-03-20,9999-01-01
41236,1998-11-03,9999-01-01
41237,1989-11-14,2000-06-14
41238,1999-07-23,9999-01-01
41239,1988-07-18,9999-01-01
41240,1994-10-10,9999-01-01
41241,1989-04-08,1997-03-07
41242,1990-06-14,9999-01-01
41243,1996-03-01,9999-01-01
41244,1997-11-03,9999-01-01
41245,1996-05-06,1998-06-28
41246,1988-05-05,1990-04-16
41247,1988-07-18,9999-01-01
41248,1993-10-24,9999-01-01
41249,1991-09-08,9999-01-01
41250,1993-11-10,9999-01-01
41251,1996-12-31,9999-01-01
41252,1993-08-05,9999-01-01
41253,1990-09-07,1993-03-05
41254,1996-12-19,1998-02-17
41255,1993-02-20,9999-01-01
41256,1986-09-20,1996-06-04
41257,1997-12-02,9999-01-01
41258,1985-10-24,9999-01-01
41259,1986-06-18,9999-01-01
41260,1997-03-01,9999-01-01
41261,1993-12-16,9999-01-01
41262,1999-02-28,9999-01-01
41263,1992-03-14,9999-01-01
41264,1996-09-24,9999-01-01
41265,1990-03-11,1998-11-02
41266,1989-10-24,9999-01-01
41267,1995-12-07,9999-01-01
41268,1998-08-22,9999-01-01
41269,1987-11-22,9999-01-01
41270,1994-08-22,1998-02-10
41271,1991-09-29,9999-01-01
41272,1990-11-03,9999-01-01
41273,1995-10-05,9999-01-01
41274,1986-01-18,9999-01-01
41275,1999-09-13,9999-01-01
41276,1996-12-28,9999-01-01
41277,1988-12-03,9999-01-01
41278,1991-06-21,1992-02-27
41279,1994-12-19,9999-01-01
41280,1997-10-11,9999-01-01
41281,1993-08-22,9999-01-01
41282,1993-09-23,1999-01-30
41283,1985-05-26,9999-01-01
41284,1994-06-14,1998-04-23
41285,1995-08-07,9999-01-01
41286,1987-07-19,9999-01-01
41287,1992-08-20,2001-11-28
41288,1985-03-25,1990-06-01
41289,1996-11-26,2000-03-07
41290,1991-06-20,9999-01-01
41291,1993-07-06,9999-01-01
41292,1987-07-21,9999-01-01
41293,1990-10-11,9999-01-01
41294,1997-04-10,9999-01-01
41295,1994-11-02,9999-01-01
41296,1992-11-08,9999-01-01
41297,1995-03-22,2001-03-29
41298,1985-08-29,9999-01-01
41299,1997-11-10,9999-01-01
41300,1990-10-28,9999-01-01
41301,1985-04-14,9999-01-01
41302,1992-08-22,9999-01-01
41303,1997-11-03,9999-01-01
41304,1986-06-04,9999-01-01
41305,1988-07-21,1991-10-18
41306,1985-09-02,9999-01-01
41307,1986-02-11,9999-01-01
41308,1986-03-02,9999-01-01
41309,1988-10-09,9999-01-01
41310,1991-11-23,1996-06-24
41311,1995-06-02,9999-01-01
41312,1997-03-03,9999-01-01
41313,1990-07-02,9999-01-01
41314,1993-05-10,9999-01-01
41315,1985-06-11,9999-01-01
41316,1998-01-03,9999-01-01
41317,1992-05-24,9999-01-01
41318,1985-03-17,1991-04-22
41319,1994-02-28,9999-01-01
41320,1989-03-17,9999-01-01
41321,1995-04-17,9999-01-01
41322,1998-02-26,9999-01-01
41323,1998-11-10,9999-01-01
41324,1991-07-03,9999-01-01
41325,1991-07-07,9999-01-01
41326,1990-06-21,9999-01-01
41327,1992-12-16,1994-11-16
41328,1996-07-19,9999-01-01
41329,1994-10-01,9999-01-01
41330,1987-10-23,9999-01-01
41331,1997-05-02,9999-01-01
41332,1997-12-30,9999-01-01
41333,1990-07-27,9999-01-01
41334,1996-02-07,9999-01-01
41335,1992-01-28,9999-01-01
41336,1995-02-05,2002-03-03
41337,1986-08-24,9999-01-01
41338,1988-06-05,9999-01-01
41339,2002-03-21,9999-01-01
41340,1987-01-27,9999-01-01
41341,1995-11-13,1997-06-08
41342,1986-07-23,9999-01-01
41343,1997-09-28,9999-01-01
41344,1998-09-02,9999-01-01
41345,1993-01-02,9999-01-01
41346,1986-07-04,9999-01-01
41347,1986-06-23,9999-01-01
41348,1993-06-26,1994-05-08
41349,1990-11-08,9999-01-01
41350,1994-11-07,9999-01-01
41351,2000-01-09,9999-01-01
41352,1986-12-05,9999-01-01
41353,1996-11-24,1998-10-14
41354,1994-01-19,1994-11-09
41355,1994-10-08,9999-01-01
41356,1986-07-16,9999-01-01
41357,1997-03-04,9999-01-01
41358,1995-05-03,9999-01-01
41359,1998-04-22,1998-06-18
41360,1996-09-10,9999-01-01
41361,1994-06-02,9999-01-01
41362,1996-12-06,9999-01-01
41363,1997-02-22,9999-01-01
41364,1987-02-20,9999-01-01
41365,1998-07-16,1998-10-13
41366,1993-07-24,9999-01-01
41367,2002-04-16,9999-01-01
41368,1992-02-21,9999-01-01
41369,1998-03-03,9999-01-01
41370,1995-03-07,9999-01-01
41371,1988-08-27,9999-01-01
41372,1993-04-14,2002-01-09
41373,1988-04-11,9999-01-01
41374,1998-11-18,9999-01-01
41375,1997-08-10,9999-01-01
41376,1988-11-01,1990-12-30
41377,1999-12-19,9999-01-01
41378,1987-10-02,9999-01-01
41379,1990-10-06,9999-01-01
41380,1991-06-23,9999-01-01
41381,2000-01-03,9999-01-01
41382,1989-03-16,9999-01-01
41383,1987-10-26,1989-11-25
41384,1987-03-15,9999-01-01
41385,1994-02-14,1996-09-14
41386,2000-11-04,9999-01-01
41387,1991-02-13,9999-01-01
41388,1986-10-06,9999-01-01
41389,1999-11-07,2001-05-09
41390,1996-01-14,9999-01-01
41391,1985-05-20,9999-01-01
41392,1994-01-18,9999-01-01
41393,1986-07-19,9999-01-01
41394,2001-11-30,9999-01-01
41395,1992-07-30,1999-01-27
41396,1997-04-24,9999-01-01
41397,1987-02-26,9999-01-01
41398,1991-09-13,9999-01-01
41399,1992-12-27,9999-01-01
41400,1995-08-31,9999-01-01
41401,1993-07-21,1994-11-30
41402,1999-12-03,9999-01-01
41403,1996-04-26,9999-01-01
41404,1998-03-21,9999-01-01
41405,1994-07-18,9999-01-01
41406,1999-05-18,9999-01-01
41407,1997-03-11,9999-01-01
41408,1988-05-22,1995-08-09
41409,1993-01-26,9999-01-01
41410,1987-04-15,1993-10-18
41411,1987-08-27,1997-10-12
41412,1994-11-04,9999-01-01
41413,1996-11-19,9999-01-01
41414,1995-07-26,9999-01-01
41415,1990-01-03,9999-01-01
41416,1997-05-30,9999-01-01
41417,1989-08-27,9999-01-01
41418,1993-01-07,9999-01-01
41419,1996-12-09,9999-01-01
41420,1987-08-02,1999-12-15
41421,1997-06-03,9999-01-01
41422,1986-10-06,9999-01-01
41423,1986-11-28,9999-01-01
41424,1987-09-21,9999-01-01
41425,1999-07-22,9999-01-01
41426,1988-01-01,9999-01-01
41427,1996-08-30,9999-01-01
41428,1987-11-14,1989-01-26
41429,1993-02-24,9999-01-01
41430,1991-03-31,9999-01-01
41431,1999-03-17,2001-08-31
41432,1986-07-06,9999-01-01
41433,1997-06-16,9999-01-01
41434,2001-12-09,9999-01-01
41435,1999-07-26,2000-05-05
41436,1996-03-13,9999-01-01
41437,1990-03-28,9999-01-01
41438,1994-12-22,1999-04-15
41439,1997-08-08,9999-01-01
41440,1991-02-11,9999-01-01
41441,1989-05-27,9999-01-01
41442,1999-07-17,1999-07-21
41443,1991-06-15,9999-01-01
41444,1996-01-29,9999-01-01
41445,1989-01-13,9999-01-01
41446,1997-08-18,9999-01-01
41447,1997-04-28,9999-01-01
41448,1990-04-08,9999-01-01
41449,1991-12-18,1994-10-09
41450,1997-10-22,9999-01-01
41451,1996-01-09,9999-01-01
41452,1989-07-28,9999-01-01
41453,1996-12-24,9999-01-01
41454,1987-12-15,2000-03-31
41455,1994-03-02,9999-01-01
41456,1995-05-09,9999-01-01
41457,1999-03-11,9999-01-01
41458,1989-04-10,9999-01-01
41459,1987-10-30,9999-01-01
41460,1990-05-01,9999-01-01
41461,1996-06-08,2002-05-16
41462,1999-01-19,1999-03-31
41463,1994-05-13,2000-09-30
41464,1996-11-18,9999-01-01
41465,1994-06-17,9999-01-01
41466,1994-06-27,9999-01-01
41467,1988-04-02,1990-08-23
41468,1988-11-12,9999-01-01
41469,1993-04-10,9999-01-01
41470,1987-02-13,9999-01-01
41471,1995-01-21,9999-01-01
41472,1990-05-13,9999-01-01
41473,2000-07-28,9999-01-01
41474,1995-03-27,9999-01-01
41475,1993-02-03,9999-01-01
41476,1993-06-13,1999-08-23
41477,1990-10-05,9999-01-01
41478,1993-11-30,9999-01-01
41479,1985-11-07,9999-01-01
41480,1994-04-24,9999-01-01
41481,1999-07-06,9999-01-01
41482,1993-11-17,1996-07-18
41483,1999-02-22,9999-01-01
41484,1993-11-17,9999-01-01
41485,1992-01-13,9999-01-01
41486,1991-04-10,1996-03-11
41487,1985-09-02,9999-01-01
41488,1987-01-29,1994-02-10
41489,1989-01-25,1990-01-30
41490,1990-10-24,9999-01-01
41491,1995-11-05,9999-01-01
41492,1995-12-15,9999-01-01
41493,1988-03-20,9999-01-01
41494,1999-05-20,9999-01-01
41495,1997-12-09,9999-01-01
41496,1992-09-24,1994-11-15
41497,1990-02-25,9999-01-01
41498,1987-10-21,9999-01-01
41499,1986-11-28,9999-01-01
41500,1988-04-01,9999-01-01
41501,1997-12-25,9999-01-01
41502,1999-03-27,9999-01-01
41503,1995-10-24,2002-06-10
41504,1995-03-03,9999-01-01
41505,1992-07-31,9999-01-01
41506,1987-12-09,9999-01-01
41507,1990-07-04,9999-01-01
41508,1996-01-24,9999-01-01
41509,1988-02-19,9999-01-01
41510,1996-03-11,1999-02-18
41511,1992-11-27,9999-01-01
41512,1993-03-11,9999-01-01
41513,1988-09-25,9999-01-01
41514,1985-04-11,9999-01-01
41515,1985-05-26,9999-01-01
41516,1991-10-27,2001-11-20
41517,1988-06-11,1992-04-02
41518,2001-02-08,9999-01-01
41519,1988-11-01,1996-06-16
41520,1988-03-21,9999-01-01
41521,1989-03-14,9999-01-01
41522,1995-02-17,9999-01-01
41523,1999-02-06,9999-01-01
41524,1985-10-17,9999-01-01
41525,1997-11-15,9999-01-01
41526,1998-05-20,9999-01-01
41527,1987-06-30,9999-01-01
41528,1999-11-25,2000-07-15
41529,1985-12-28,1988-06-20
41530,1995-01-31,9999-01-01
41531,1997-12-18,9999-01-01
41532,1995-02-16,9999-01-01
41533,1987-12-09,9999-01-01
41534,1999-03-08,9999-01-01
41535,1999-09-07,9999-01-01
41536,1998-10-04,2002-07-03
41537,1990-12-11,9999-01-01
41538,1988-05-18,9999-01-01
41539,1992-10-13,9999-01-01
41540,1990-03-06,9999-01-01
41541,1997-10-04,1998-01-17
41542,1989-03-16,9999-01-01
41543,1986-08-27,9999-01-01
41544,1993-08-31,1996-06-11
41545,1995-10-04,9999-01-01
41546,1997-12-31,9999-01-01
41547,1997-04-14,1998-01-30
41548,1996-01-06,9999-01-01
41549,1989-02-14,9999-01-01
41550,1988-01-09,9999-01-01
41551,1995-07-17,9999-01-01
41552,1990-09-28,2001-11-29
41553,1988-11-04,9999-01-01
41554,1992-03-01,9999-01-01
41555,1997-08-04,9999-01-01
41556,1992-07-24,9999-01-01
41557,1988-08-06,9999-01-01
41558,1990-05-08,9999-01-01
41559,1995-02-18,1995-04-29
41560,1994-01-01,9999-01-01
41561,1987-11-23,9999-01-01
41562,1992-10-22,9999-01-01
41563,1993-09-12,9999-01-01
41564,1995-07-18,9999-01-01
41565,1997-07-02,9999-01-01
41566,2000-03-29,9999-01-01
41567,1988-03-29,1996-08-10
41568,1996-11-18,9999-01-01
41569,1990-11-19,9999-01-01
41570,1993-04-06,9999-01-01
41571,1998-01-25,9999-01-01
41572,1999-03-23,9999-01-01
41573,1994-04-03,9999-01-01
41574,1998-10-15,1999-08-24
41575,1994-06-16,9999-01-01
41576,1992-05-15,9999-01-01
41577,1991-11-17,9999-01-01
41578,1992-09-21,1999-07-28
41579,1999-07-14,9999-01-01
41580,1990-08-29,9999-01-01
41581,1997-06-20,9999-01-01
41582,1993-01-14,9999-01-01
41583,1986-06-03,9999-01-01
41584,1988-06-11,9999-01-01
41585,1997-03-14,9999-01-01
41586,1994-09-17,1998-08-16
41587,1987-10-23,9999-01-01
41588,1993-11-10,9999-01-01
41589,1996-10-06,1998-05-17
41590,1995-04-14,2002-03-10
41591,1997-10-05,9999-01-01
41592,1989-01-27,9999-01-01
41593,1988-08-04,9999-01-01
41594,1992-07-27,9999-01-01
41595,1992-10-10,9999-01-01
41596,1986-02-26,9999-01-01
41597,1997-02-26,1999-06-28
41598,1991-02-03,9999-01-01
41599,1989-06-13,9999-01-01
41600,1994-11-19,9999-01-01
41601,1997-10-17,9999-01-01
41602,1992-07-09,9999-01-01
41603,1990-03-13,9999-01-01
41604,1997-08-16,9999-01-01
41605,1991-07-14,9999-01-01
41606,1998-01-07,1998-01-10
41607,1995-01-05,9999-01-01
41608,1991-04-30,9999-01-01
41609,1987-10-13,9999-01-01
41610,1990-06-16,9999-01-01
41611,1996-09-13,9999-01-01
41612,1988-05-25,9999-01-01
41613,1994-07-28,1995-09-21
41614,1999-07-10,9999-01-01
41615,1988-12-03,9999-01-01
41616,1989-07-22,9999-01-01
41617,1991-12-23,9999-01-01
41618,1987-08-07,9999-01-01
41619,1986-01-14,9999-01-01
41620,1987-03-10,9999-01-01
41621,1990-01-25,9999-01-01
41622,1994-02-05,1996-11-20
41623,1991-01-28,9999-01-01
41624,1994-12-11,9999-01-01
41625,1998-09-19,9999-01-01
41626,1998-09-13,9999-01-01
41627,1996-08-06,9999-01-01
41628,1988-05-04,9999-01-01
41629,1992-07-28,1993-04-11
41630,1989-06-15,9999-01-01
41631,1994-02-16,9999-01-01
41632,1988-07-13,1995-02-16
41633,1990-11-04,9999-01-01
41634,1995-05-16,9999-01-01
41635,2000-05-28,2001-05-01
41636,1993-04-25,9999-01-01
41637,1992-10-16,9999-01-01
41638,1996-12-11,9999-01-01
41639,1994-03-11,9999-01-01
41640,1987-03-19,9999-01-01
41641,1991-07-08,9999-01-01
41642,1985-10-05,9999-01-01
41643,1989-06-29,1995-10-05
41644,1990-06-30,9999-01-01
41645,1995-02-18,9999-01-01
41646,1985-12-11,9999-01-01
41647,1989-02-08,9999-01-01
41648,1996-04-08,2000-12-06
41649,1996-06-27,9999-01-01
41650,1985-08-21,9999-01-01
41651,1990-11-05,1996-05-01
41652,1997-06-29,9999-01-01
41653,1999-05-25,9999-01-01
41654,1991-02-25,9999-01-01
41655,1992-09-05,9999-01-01
41656,1993-05-21,9999-01-01
41657,1991-09-02,9999-01-01
41658,1999-08-18,9999-01-01
41659,1995-08-08,1997-02-13
41660,1991-01-24,9999-01-01
41661,1992-06-03,9999-01-01
41662,1998-05-23,2000-04-14
41663,1993-11-13,9999-01-01
41664,1996-05-24,9999-01-01
41665,1988-09-28,2001-10-05
41666,1985-02-18,1988-07-28
41667,1999-12-10,9999-01-01
41668,1994-01-21,9999-01-01
41669,1989-04-09,9999-01-01
41670,1988-03-20,9999-01-01
41671,1999-09-04,9999-01-01
41672,1995-11-07,9999-01-01
41673,1985-03-24,9999-01-01
41674,1985-03-10,9999-01-01
41675,1994-11-04,2001-01-16
41676,1985-08-23,9999-01-01
41677,1987-03-10,9999-01-01
41678,1995-07-12,9999-01-01
41679,1997-03-13,9999-01-01
41680,1997-07-02,9999-01-01
41681,1999-12-10,2000-10-05
41682,1990-04-20,9999-01-01
41683,1993-12-28,9999-01-01
41684,1985-05-10,9999-01-01
41685,1999-06-20,9999-01-01
41686,1987-01-29,9999-01-01
41687,1986-08-17,9999-01-01
41688,1992-12-31,2001-10-20
41689,1987-03-13,9999-01-01
41690,1997-06-23,9999-01-01
41691,1998-05-09,9999-01-01
41692,1987-06-22,9999-01-01
41693,1994-12-13,9999-01-01
41694,1992-06-27,9999-01-01
41695,1993-08-10,9999-01-01
41696,1989-02-23,1991-10-21
41697,1999-04-23,2002-02-24
41698,1997-10-14,9999-01-01
41699,2000-11-11,9999-01-01
41700,1992-06-18,9999-01-01
41701,1992-10-02,1999-06-19
41702,1998-03-12,9999-01-01
41703,1999-04-21,9999-01-01
41704,1996-07-22,9999-01-01
41705,1995-08-10,9999-01-01
41706,1992-03-26,9999-01-01
41707,1994-10-04,9999-01-01
41708,1999-03-08,9999-01-01
41709,1995-07-08,1999-10-31
41710,1987-06-26,9999-01-01
41711,1996-11-20,9999-01-01
41712,1997-10-14,9999-01-01
41713,1986-05-22,9999-01-01
41714,1995-02-23,1998-04-07
41715,1998-03-25,9999-01-01
41716,2000-08-17,9999-01-01
41717,1988-03-14,1999-12-22
41718,1988-06-09,2001-05-05
41719,1997-07-29,9999-01-01
41720,1997-11-04,9999-01-01
41721,1988-10-04,9999-01-01
41722,1999-08-27,2001-05-02
41723,1990-12-15,9999-01-01
41724,1985-04-02,9999-01-01
41725,1993-04-13,9999-01-01
41726,1996-11-27,9999-01-01
41727,1992-10-21,9999-01-01
41728,1999-09-07,9999-01-01
41729,1987-09-24,9999-01-01
41730,1994-04-10,9999-01-01
41731,1985-06-07,1985-07-28
41732,1999-10-23,2001-04-15
41733,1996-10-31,9999-01-01
41734,1998-06-28,9999-01-01
41735,1988-03-13,9999-01-01
41736,1992-06-27,9999-01-01
41737,1988-02-25,9999-01-01
41738,1993-02-02,9999-01-01
41739,1993-11-24,1996-08-04
41740,1993-12-28,9999-01-01
41741,1998-11-09,2001-09-14
41742,1991-12-14,9999-01-01
41743,1988-05-22,9999-01-01
41744,2000-11-17,9999-01-01
41745,1992-08-29,9999-01-01
41746,1995-01-09,9999-01-01
41747,1985-10-25,9999-01-01
41748,1999-05-25,2001-07-01
41749,1994-11-09,9999-01-01
41750,1991-02-16,9999-01-01
41751,1995-11-10,9999-01-01
41752,1994-11-03,2000-08-11
41753,1999-08-12,9999-01-01
41754,1999-06-20,9999-01-01
41755,1985-11-26,9999-01-01
41756,1990-09-28,9999-01-01
41757,1999-07-02,9999-01-01
41758,1997-07-06,1997-12-11
41759,1985-05-16,9999-01-01
41760,1985-11-27,9999-01-01
41761,1998-08-11,1999-07-20
41762,1991-07-28,9999-01-01
41763,1994-05-23,9999-01-01
41764,1993-07-26,9999-01-01
41765,1986-11-29,2001-08-06
41766,1990-04-01,9999-01-01
41767,1999-08-14,9999-01-01
41768,2000-01-26,9999-01-01
41769,1990-02-05,9999-01-01
41770,1991-02-21,9999-01-01
41771,1990-11-27,9999-01-01
41772,1986-05-26,9999-01-01
41773,1986-05-01,1988-01-15
41774,1998-09-28,9999-01-01
41775,1990-03-25,9999-01-01
41776,1996-05-04,2000-05-14
41777,1999-03-14,1999-04-01
41778,1998-12-25,9999-01-01
41779,1995-10-13,9999-01-01
41780,1990-11-03,9999-01-01
41781,1986-11-29,9999-01-01
41782,1997-07-10,9999-01-01
41783,1996-03-24,1999-09-12
41784,1989-11-20,1996-02-21
41785,1997-09-03,9999-01-01
41786,1985-08-30,9999-01-01
41787,1999-04-03,9999-01-01
41788,1996-10-13,9999-01-01
41789,1997-06-19,9999-01-01
41790,1994-11-30,2001-07-13
41791,1993-05-07,9999-01-01
41792,1994-04-28,9999-01-01
41793,1999-08-12,9999-01-01
41794,1987-06-28,9999-01-01
41795,1991-07-13,9999-01-01
41796,1988-09-11,9999-01-01
41797,1998-12-08,9999-01-01
41798,1989-10-21,9999-01-01
41799,1989-08-05,2000-12-05
41800,1989-06-05,2002-03-12
41801,1992-03-08,9999-01-01
41802,1985-03-16,9999-01-01
41803,1999-09-13,9999-01-01
41804,1997-09-17,9999-01-01
41805,1999-09-15,2001-07-17
41806,1999-10-11,9999-01-01
41807,1999-10-24,9999-01-01
41808,1990-12-13,9999-01-01
41809,1986-09-30,9999-01-01
41810,1986-12-24,9999-01-01
41811,1994-12-18,9999-01-01
41812,1992-01-18,2001-02-22
41813,1990-09-06,9999-01-01
